NASDAQOMX/NQGI,NASDAQ Global Index (NQGI)
NASDAQOMX/NQASIA4000LMGBPN,NASDAQ Asia Health Care Lg Md Cap GBP NTR Index (NQASIA4000LMGBPN)
NASDAQOMX/NQASIA4000LMGBPT,NASDAQ Asia Health Care Lg Md Cap GBP TR Index (NQASIA4000LMGBPT)
NASDAQOMX/NQASIA4000LMJPY,NASDAQ Asia Health Care Lg Md Cap JPY Index (NQASIA4000LMJPY)
NASDAQOMX/NQASIA4000LMJPYN,NASDAQ Asia Health Care Lg Md Cap JPY NTR Index (NQASIA4000LMJPYN)
NASDAQOMX/NQASIA4000LMJPYT,NASDAQ Asia Health Care Lg Md Cap JPY TR Index (NQASIA4000LMJPYT)
NASDAQOMX/NQASIA4000N,NASDAQ Asia Health Care NTR Index (NQASIA4000N)
NASDAQOMX/NQASIA4000T,NASDAQ Asia Health Care TR Index (NQASIA4000T)
NASDAQOMX/NQASIA,NASDAQ Asia Index (NQASIA)
NASDAQOMX/NQASIA2000AUD,NASDAQ Asia Inds AUD Index (NQASIA2000AUD)
NASDAQOMX/NQASIA2000AUDN,NASDAQ Asia Inds AUD NTR Index (NQASIA2000AUDN)
NASDAQOMX/NQASIA2000AUDT,NASDAQ Asia Inds AUD TR Index (NQASIA2000AUDT)
NASDAQOMX/NQASIA2000CAD,NASDAQ Asia Inds CAD Index (NQASIA2000CAD)
NASDAQOMX/NQASIA2000CADN,NASDAQ Asia Inds CAD NTR Index (NQASIA2000CADN)
NASDAQOMX/NQASIA2000CADT,NASDAQ Asia Inds CAD TR Index (NQASIA2000CADT)
NASDAQOMX/NQASIA2000EUR,NASDAQ Asia Inds EUR Index (NQASIA2000EUR)
NASDAQOMX/NQASIA2000EURN,NASDAQ Asia Inds EUR NTR Index (NQASIA2000EURN)
NASDAQOMX/NQASIA2000EURT,NASDAQ Asia Inds EUR TR Index (NQASIA2000EURT)
NASDAQOMX/NQASIA2000GBP,NASDAQ Asia Inds GBP Index (NQASIA2000GBP)
NASDAQOMX/NQASIA2000GBPN,NASDAQ Asia Inds GBP NTR Index (NQASIA2000GBPN)
NASDAQOMX/NQASIA2000GBPT,NASDAQ Asia Inds GBP TR Index (NQASIA2000GBPT)
NASDAQOMX/NQASIA2000,NASDAQ Asia Inds Index (NQASIA2000)
NASDAQOMX/NQASIA2000JPY,NASDAQ Asia Inds JPY Index (NQASIA2000JPY)
NASDAQOMX/NQASIA2000JPYN,NASDAQ Asia Inds JPY NTR Index (NQASIA2000JPYN)
NASDAQOMX/NQASIA2000JPYT,NASDAQ Asia Inds JPY TR Index (NQASIA2000JPYT)
NASDAQOMX/NQASIA2000LMAUD,NASDAQ Asia Inds Large Mid Cap AUD Index (NQASIA2000LMAUD)
NASDAQOMX/NQASIA2000LMAUDN,NASDAQ Asia Inds Large Mid Cap AUD NTR Index (NQASIA2000LMAUDN)
NASDAQOMX/NQASIA2000LMAUDT,NASDAQ Asia Inds Large Mid Cap AUD TR Index (NQASIA2000LMAUDT)
NASDAQOMX/NQASIA2000LMCAD,NASDAQ Asia Inds Large Mid Cap CAD Index (NQASIA2000LMCAD)
NASDAQOMX/NQASIA2000LMCADN,NASDAQ Asia Inds Large Mid Cap CAD NTR Index (NQASIA2000LMCADN)
NASDAQOMX/NQASIA2000LMCADT,NASDAQ Asia Inds Large Mid Cap CAD TR Index (NQASIA2000LMCADT)
NASDAQOMX/NQASIA2000LMEUR,NASDAQ Asia Inds Large Mid Cap EUR Index (NQASIA2000LMEUR)
NASDAQOMX/NQASIA2000LMEURN,NASDAQ Asia Inds Large Mid Cap EUR NTR Index (NQASIA2000LMEURN)
NASDAQOMX/NQASIA2000LMEURT,NASDAQ Asia Inds Large Mid Cap EUR TR Index (NQASIA2000LMEURT)
